Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,NA,0.079,1.621,1.301,2.282,-0.726,-0.34,-2.258,1.735,4.102,3.192,0.933
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,NA,-1.203,2.891,-4.601,-2.825,-3.244,-1.796,0.877,-1.276,4.459,1.184,3.651
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,NA,-3.238,1.57,-0.705,-0.496,0,0.352,-0.185,-0.469,3.07,7.851,0.803
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",NA,-0.712,0.763,2.51,0.055,0.525,-3.401,-0.158,7.252,7.724,5.405,-1.532
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,NA,0.997,-3.399,3.348,3.405,2.496,1.969,0.356,-4.101,0.686,-1.626,0.693
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",NA,-2.945,2.76,0,-8.271,2.695,-4.286,3.827,-1.368,0.405,-6.025,2.062
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),NA,-1.799,-1.526,-0.566,1.339,2.123,-0.808,0.641,-1.79,0.382,8.708,-3.6
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,NA,-2.442,-1.784,0,2.279,0.312,-0.185,5.187,2.915,0.461,0.428,-0.659
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",NA,-2.058,-4.048,-2.544,0.661,0.263,-0.753,-4.256,-7.202,-13.034,-1.751,-2.738
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",NA,1.97,-4.443,-2.898,4.268,-2.396,-3.682,-1.097,-0.429,-2.408,-1.326,-0.971
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,NA,-0.197,1.792,5.825,2.581,-0.325,0.775,2.493,-0.397,-6.215,1.364,-4.373
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,NA,-1.295,-0.301,2.803,2.723,1.539,1.024,1.735,1.479,-0.104,1.087,0.047
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,NA,-6.176,1.948,2.226,-0.817,-2.36,4.348,1.958,8.279,1.057,3.912,1.689
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,NA,-4.273,0.901,3.492,-2.475,-1.845,2.938,3.463,11.806,1.118,7.547,3.206
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",NA,-7.887,2.927,1.066,0.739,-2.828,5.641,0.612,5.037,0.998,0.351,0.095
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,NA,-1.153,-0.363,2.819,2.823,1.645,0.937,1.729,1.296,-0.137,1.004,-0.002
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",NA,0.095,2.186,2.605,3.626,14.611,0.84,2.877,6.917,-1.376,6.629,3.141
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",NA,-5.696,-10.067,4.478,3.968,-4.809,-1.684,2.447,4.22,3.743,2.356,2.518
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,NA,-3.014,2.393,3.995,4.105,1.854,-0.251,1.327,2.471,0.976,1.559,1.249
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",NA,-3.961,-0.816,0.05,1.85,2.392,-1.458,0.873,-1.388,0.933,4.771,-2.876
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),NA,2.657,-3.799,1.86,1.463,1.204,3.478,2.503,0.112,-2.213,-1.686,-1.916
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",NA,-2.218,-3.43,1.04,-1.353,-0.194,1.494,2.429,-0.043,-0.086,8.347,3.626
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,NA,-0.685,0.69,-0.685,-0.69,0.694,-0.69,-2.083,0,0.709,0,-0.704
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,NA,-5.719,1.639,2.097,0.316,2.835,-1.072,-2.322,-3.645,1.645,5.178,0.462
Variación anual|Total cultura|Gestión pública en actividades culturales,NA,-0.142,0.565,2.491,5.967,-3.425,-0.048,0.219,-0.304,-0.655,0.142,-3.044
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración federal,NA,-0.729,1.077,1.624,10.488,-5.995,-2.957,-1.045,-0.852,-0.076,0.594,-4.771
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración estatal,NA,0.523,-0.008,3.472,0.942,-0.298,3.288,1.581,0.271,-1.257,-0.332,-1.212
Variación anual|Total cultura|Asociaciones y organizaciones civiles,NA,-0.306,-3.681,0.637,-0.554,-0.875,8.026,0.297,-1.111,-1.273,7.587,1.34
